Photo,rating
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_1.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_2.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_3.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_4.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_5.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_6.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_7.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_8.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_9.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_10.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_11.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_12.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_13.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_14.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_15.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_16.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_17.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_18.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_19.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_20.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_21.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_22.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_23.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_24.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_25.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_26.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_27.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_28.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_29.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_30.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_31.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_32.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_33.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_34.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_35.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_36.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_37.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_38.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_39.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_40.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_41.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_42.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_43.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_44.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_45.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_46.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_47.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_48.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_49.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_50.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_51.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_52.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_53.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_54.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_55.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_56.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_57.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_58.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_59.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_60.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_61.jpg,0
C:\Users\Arth\OneDrive\Desktop\CameraSnaps\Afnan\faces\faces\afnan_62.jpg,0
